GeneID,Chromosome,Start,End,Strand,Length,SRR21835898,SRR21835899,SRR21835896,SRR21835897,SRR21835900,SRR21835901
SAUSA300_0001,CP000255.1,544,1905,+,1362,635,551,487,564,640,531
SAUSA300_0002,CP000255.1,2183,3316,+,1134,365,363,308,287,372,373
SAUSA300_0003,CP000255.1,3697,3942,+,246,23,21,3,8,30,18
SAUSA300_0004,CP000255.1,3939,5051,+,1113,179,265,87,155,300,247
SAUSA300_0005,CP000255.1,5061,6995,+,1935,263,541,247,254,489,523
SAUSA300_0006,CP000255.1,7032,9695,+,2664,269,427,196,264,440,432
SAUSA300_0007,CP000255.1,9782,10612,-,831,36,2,22,14,28,16
SAUSA300_0008,CP000255.1,10920,12434,+,1515,470,386,361,476,380,415
SAUSA300_0009,CP000255.1,12813,14099,+,1287,314,184,536,448,159,165
SAUSA300_0010,CP000255.1,14749,15444,+,696,2,10,2,2,2,16
SAUSA300_0011,CP000255.1,15441,15770,+,330,8,11,14,6,9,6
SAUSA300_0012,CP000255.1,16133,17101,+,969,217,227,174,183,281,230
SAUSA300_0013,CP000255.1,17392,18330,+,939,151,492,86,143,503,491
SAUSA300_0014,CP000255.1,18345,20312,+,1968,585,2209,636,547,2449,2595
SAUSA300_0015,CP000255.1,20309,20755,+,447,314,1025,375,303,933,1113
SAUSA300_0016,CP000255.1,20787,22187,+,1401,628,1719,551,620,1682,1996
SAUSA300_0017,CP000255.1,22465,23748,+,1284,74,45,54,110,62,48
SAUSA300_0020,CP000255.1,24952,25653,+,702,147,224,124,140,271,264
SAUSA300_0021,CP000255.1,25666,27492,+,1827,758,1174,924,844,1035,1234
SAUSA300_0022,CP000255.1,27536,28819,+,1284,773,1083,961,859,1159,1081
SAUSA300_0023,CP000255.1,28820,29608,+,789,517,816,704,486,738,761
SAUSA300_0024,CP000255.1,29998,30798,+,801,4,28,0,5,18,21
SAUSA300_0025,CP000255.1,31026,33344,+,2319,26,30,12,30,22,14
SAUSA300_0026,CP000255.1,33712,34191,+,480,45,24,24,42,30,26
SAUSA300_0027,CP000255.1,34513,35769,+,1257,73,99,87,59,100,80
SAUSA300_0028,CP000255.1,35877,36551,-,675,9,15,13,18,8,10
SAUSA300_0029,CP000255.1,36809,36976,+,168,4,18,7,1,22,31
SAUSA300_0030,CP000255.1,37813,38556,+,744,14,76,20,28,62,55
SAUSA300_0031,CP000255.1,38653,39081,+,429,0,0,0,2,0,2
SAUSA300_0032,CP000255.1,39127,41133,-,2007,2521,3005,3098,2474,3223,3568
SAUSA300_0033,CP000255.1,41233,42219,+,987,475,686,475,429,916,836
SAUSA300_0035,CP000255.1,42236,42451,+,216,217,391,226,194,409,492
SAUSA300_0034,CP000255.1,42442,43953,-,1512,0,0,0,0,0,0
SAUSA300_0036,CP000255.1,44101,44607,-,507,2,5,4,6,4,2
SAUSA300_0037,CP000255.1,45892,47520,-,1629,54,68,60,44,54,52
SAUSA300_0038,CP000255.1,47542,48891,-,1350,120,80,126,97,83,134
SAUSA300_0039,CP000255.1,49125,50912,-,1788,75,93,54,51,90,63
SAUSA300_0040,CP000255.1,50912,51202,-,291,11,4,5,5,4,10
SAUSA300_0041,CP000255.1,51299,52390,+,1092,28,49,16,15,46,55
SAUSA300_0042,CP000255.1,53118,54608,+,1491,101,333,125,111,349,370
SAUSA300_0043,CP000255.1,54981,55154,-,174,0,2,0,0,2,0
SAUSA300_0044,CP000255.1,55232,56236,-,1005,16,8,6,14,10,12
SAUSA300_0045,CP000255.1,56489,56860,+,372,0,0,0,0,0,0
SAUSA300_0046,CP000255.1,56989,57609,+,621,266,278,224,281,321,332
SAUSA300_0047,CP000255.1,59098,60063,+,966,0,2,0,0,2,2
SAUSA300_0048,CP000255.1,60160,60351,+,192,0,0,0,0,0,2
SAUSA300_0049,CP000255.1,60443,60772,+,330,0,2,2,2,0,2
